Lily_Loch,Choille-Bharr,Creig-Moire,Fidhle,Buic,Linne,Beag
7.42,2.39,2.39,2.97,2.84,3.73,6.12
3.58,4.22,4.65,6.68,4.19,5.21,3.23
7.47,2.41,5.16,3.78,6.5,3.78,7.04
6.07,5.54,2.87,7.11,3.2,3.71,3.05
6.81,3.56,6.63,2.74,4.14,6.93,7.06
8.05,5.72,7.42,4.75,2.51,6.4,9.58
7.24,4.72,3.66,5.59,8.53,1.57,4.62
7.9,5.05,7.26,3.94,6.25,3.2,8.66
6.15,6.76,3.71,5.44,6.17,4.55,3.96
6.2,5.64,3.2,4.98,3.53,2.62,5.26
7.26,4.06,5.99,4.24,5.03,3.48,3.53
7.06,9.25,6.38,5.51,6.1,2.67,8.33
6.45,5.99,5.49,6.48,4.98,9.4,5.41
3.66,4.57,4.93,5.69,5.21,6.86,7.32
4.37,6.96,7.29,2.79,5.03,6.2,5.46
4.55,6.78,6.1,5.72,7.19,4.93,4.34
3.81,7.29,5.97,4.39,6.32,5.18,6.35
2.77,5.16,9.93,7.19,7.04,6.12,6.12
1.91,8.64,8.28,7.29,6.35,7.26,5.11
2.62,7.01,7.24,8.18,6.3,9.14,8.18
