"Tree","Length_cm","Width_cm","Height_cm","Seeds"
"A",1.5,1.8,1.4,238
"A",1.7,1.9,1.5,198
"A",2.1,2.1,1.6,220
"A",1.5,1.6,1.4,188
"A",1.6,1.6,1.5,139
"A",1.5,1.4,1.5,173
"A",1.4,1.4,1.2,92
"A",1.8,1.6,1.4,155
"A",1.2,1.1,1.5,119
"A",1.8,1.7,1.5,203
"A",1.7,1.8,1.5,243
"A",1.5,1.6,1.4,0
"A",1.6,1.6,1.6,129
"A",1.5,1.7,1.4,122
"B",1.5,1.5,1.2,128
"B",1.6,1.6,1.4,125
"B",1.4,1.5,1.3,150
"B",1.7,1.6,1.6,273
"B",1.3,1.3,1.2,73
"B",1.5,1.6,1.2,194
"B",1.3,1.3,1.2,76
"B",1.4,1.4,"NA",192
"B",1.4,1.4,1.3,138
"B",1.2,1.4,1.3,91
"B",1.4,1.5,1.4,205
"B",1.4,1.4,1.5,180
"B",1.3,1.3,1.2,179
"B",1.3,1.4,1.2,2
"B",1.5,1.7,1.4,180
"B",1.4,1.4,1.1,155
"B",1.4,1.3,1.2,146
"B",1.4,1.4,1.3,201
"B",1.2,1.2,1.1,91
"B",1.4,1.3,1.2,146
"B",1.3,1.4,1.3,85
"B",1.5,1.5,1.2,108
"C",2.3,2,2.1,214
"C",2.1,1.8,1.8,151
"C",2,1.8,1.8,243
"C",2,2,1.8,175
"C",2.1,1.9,1.9,198
"C",2.1,2,1.9,254
"C",1.6,1.6,1.4,96
"C",1.8,1.6,1.5,158
"C",1.9,2,1.7,200
"C",1.6,1.7,1.4,223
"C",1.7,1.6,1.4,198
"C",1.8,1.9,1.9,121
"C",1.8,1.8,1.5,170
"C",2.1,1.8,1.8,226
"C",1.9,2,1.6,252
"C",1.6,1.6,1.4,79
"C",1.7,1.6,1.6,218
"C",1.6,1.5,1.4,1
"C",1.6,1.6,1.5,197
"D",1.7,1.7,1.6,91
"D",1.6,1.6,1.5,136
"D",1.9,1.9,1.7,106
"D",1.8,1.8,1.8,316
"D",1.6,1.5,1.5,68
"D",1.5,1.6,1.6,83
"D",1.4,"NA",1.3,36
"D",1.4,1.2,1.2,46
"D",1.7,1.7,1.6,134
"D",1.6,1.5,1.5,74
"D",1.4,1.3,1.4,32
"D",1.6,1.5,1.5,73
"D",1.3,1.2,1.3,98
"D",1.6,1.6,1.7,168
"D",1.4,1.4,1.2,22
"D",1.2,1.1,1.2,41
"D",1.5,1.4,1.4,74
"D",1.5,1.4,1.4,98
"D",1.6,1.4,1.6,89
"D",1.6,1.6,1.7,96
"D",1.5,1.5,1.6,64
"D",1.2,1.2,1.3,52
"D",1.7,1.6,1.5,125
