"Site","Woodland","Trees","DBH_mean_cm","DBH_SD_cm","Grazing"
1076,"Ancient",22,21.3,10.7,"No"
1182,"Ancient",4,42.2,7.6,"Yes"
1368,"Ancient",57,18.2,8.3,"No"
1575,"Ancient",13,38.2,14.1,"No"
3008,"Ancient",12,51,13,"No"
3188,"Ancient",179,25.1,17.5,"No"
3509,"Ancient",37,52.7,26.2,"No"
9603,"Ancient",32,43.5,28,"No"
9828,"Ancient",146,48.4,22.1,"No"
10786,"Ancient",109,51.3,14.6,"No"
10922,"Ancient",84,27.7,7.4,"No"
11607,"Ancient",175,25.7,13.2,"No"
23142,"Ancient",28,36.1,32.3,"No"
23197,"Ancient",29,30.2,20.9,"No"
23277,"Ancient",81,29,23.9,"No"
428,"Secondary",131,26.7,21.2,"No"
656,"Secondary",116,26.1,10.3,"No"
789,"Secondary",63,28,16.1,"No"
1223,"Secondary",22,12.9,3.1,"No"
1229,"Secondary",150,22.2,10.3,"Yes"
1694,"Secondary",4,22.3,15.9,"Yes"
1726,"Secondary",23,18.8,10,"No"
1747,"Secondary",136,21.9,14.3,"Yes"
1954,"Secondary",23,17.5,6.8,"No"
